;Name;Description;Price;Link
1;LANDSKRONA ЛАНДСКРУНА;Диван 2-местный;49 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/landskrona-landskruna-divan-2-mestnyy-grann-bumstad-belyy-metall-s09248902/
2;KLIPPAN КЛИППАН;2-местный диван;19 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-bumstad-chernyy-40468326/
3;KLIPPAN КЛИППАН;2-местный диван;27 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-glose-bumstad-belyy-20468327/
4;VIMLE ВИМЛЕ;2-местный диван;57 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-2-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy-s49306301/
5;LANDSKRONA ЛАНДСКРУНА;Диван 2-местный;49 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/landskrona-landskruna-divan-2-mestnyy-grann-bumstad-belyy-metall-s09248902/
6;KLIPPAN КЛИППАН;2-местный диван;19 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-bumstad-chernyy-40468326/
7;KLIPPAN КЛИППАН;2-местный диван;27 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-glose-bumstad-belyy-20468327/
8;VIMLE ВИМЛЕ;2-местный диван;57 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-2-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy-s49306301/
9;VIMLE ВИМЛЕ;3-местный диван;72 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy-s09306652/
10;VIMLE ВИМЛЕ;3-местный диван;69 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-divan-s-otkrytym-torcom-grann-bumstad-zolotisto-korichnevyy-s89306672/
11;LIDHULT ЛИДГУЛЬТ;3-местный диван;90 000;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/lidhult-lidgult-3-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy-s19257043/
12;LIDHULT ЛИДГУЛЬТ;2-местный диван;70 000;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/lidhult-lidgult-2-mestnyy-divan-grann-bumstad-temno-korichnevyy-s99257020/
13;VIMLE ВИМЛЕ;3-местный диван;99 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy-s49306693/
14;VIMLE ВИМЛЕ;3-местный диван;76 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-divan-s-izgolovem-grann-bumstad-chernyy-s29306255/
15;VIMLE ВИМЛЕ;4-местный диван;114 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-4-mestnyy-divan-s-kozetkoy-grann-bumstad-chernyy-s49306711/
16;VIMLE ВИМЛЕ;4-местный угловой диван;123 997;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-4-mestnyy-uglovoy-divan-s-otkrytym-torcom-grann-bumstad-chernyy-s29306731/
17;LIDHULT ЛИДГУЛЬТ;4-местный диван;180 000;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/lidhult-lidgult-4-mestnyy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy-s59257357/
18;VIMLE ВИМЛЕ;3-местный диван;103 999;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-divan-s-kozetkoy-s-izgolovem-grann-bumstad-chernyy-s49306264/
19;LIDHULT ЛИДГУЛЬТ;3-местный диван;125 000;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/lidhult-lidgult-3-mestnyy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy-s39257141/
20;VIMLE ВИМЛЕ;4-местный угловой диван;129 997;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-4-mestnyy-uglovoy-divan-grann-bumstad-zolotisto-korichnevyy-s29306726/
21;VIMLE ВИМЛЕ;6-местный п-образный диван;195 995;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-6-mestnyy-p-obraznyy-divan-s-otkrytym-torcom-grann-bumstad-chernyy-s49306787/
22;VIMLE ВИМЛЕ;3-местный угловой диван;105 997;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-uglovoy-divan-s-otkrytym-torcom-grann-bumstad-chernyy-s39306759/
23;LIDHULT ЛИДГУЛЬТ;4-местный угловой диван;149 000;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/lidhult-lidgult-4-mestnyy-uglovoy-divan-grann-bumstad-zolotisto-korichnevyy-s09275622/
24;LIDHULT ЛИДГУЛЬТ;5-местный угловой диван;172 000;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/lidhult-lidgult-5-mestnyy-uglovoy-divan-grann-bumstad-temno-korichnevyy-s39257396/
25;VIMLE ВИМЛЕ;5-местный угловой диван;171 997;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-5-mestnyy-uglovoy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy-s89306771/
26;LIDHULT ЛИДГУЛЬТ;4-местный диван;145 000;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/lidhult-lidgult-4-mestnyy-divan-s-kozetkoy-grann-bumstad-zolotisto-korichnevyy-s09292042/
27;VIMLE ВИМЛЕ;4-местный угловой диван;131 997;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/vimle-vimle-4-mestnyy-uglovoy-divan-s-otkrytym-torcom-s-podgolovnikami-grann-bumstad-zolotisto-korichnevyy-s79306286/
28;LIDHULT ЛИДГУЛЬТ;5-местный угловой диван;164 000;https://www.ikea.comhttps://www.ikea.com/ru/ru/p/lidhult-lidgult-5-mestnyy-uglovoy-divan-s-otkrytym-torcom-grann-bumstad-temno-korichnevyy-s99276028/
